Order ID,Customer ID,Product Category,Purchase Amount (USD),Order Date,Shipping Time (Days),Customer Age,Customer Gender,Customer Location,Customer Lifetime Value (USD),Churn Risk
10001,103,Clothing,19.03,1/1/2024,10,32,Male,Pattaya,3995.56,Low
10002,436,Electronics,221.8,1/2/2024,9,22,Female,Pattaya,900.44,Low
10003,349,Toys,421.66,1/3/2024,6,63,Female,Chiang Mai,611.13,Low
10004,271,Home & Kitchen,202.15,1/4/2024,5,23,Other,Chiang Mai,813.03,Medium
10005,107,Home & Kitchen,97.95,1/5/2024,3,42,Male,Chiang Mai,4397.93,Medium
10006,72,Electronics,379.31,1/6/2024,9,63,Female,Bangkok,2688.13,Low
10007,189,Sports,396.52,1/7/2024,5,57,Male,Hat Yai,2389.58,Medium
10008,21,Electronics,95.14,1/8/2024,5,46,Female,Chiang Mai,622.89,Low
10009,103,Clothing,387.72,1/9/2024,14,24,Male,Hat Yai,3282.82,Medium
10010,122,Electronics,474.18,1/10/2024,4,57,Female,Bangkok,4353.2,High
10011,467,Home & Kitchen,91.53,1/11/2024,14,30,Other,Hat Yai,4158.11,Low
10012,215,Electronics,387.78,1/12/2024,4,55,Other,Phuket,3167.67,Low
10013,331,Sports,357.2,1/13/2024,12,35,Male,Hat Yai,468.87,Low
10014,459,Toys,242.05,1/14/2024,1,19,Female,Chiang Mai,650.75,Low
10015,88,Beauty,38.38,1/15/2024,7,25,Female,Bangkok,341.61,Low
10016,373,Electronics,46.6,1/16/2024,9,28,Male,Chiang Mai,1361.65,Low
10017,100,Sports,427.68,1/17/2024,3,50,Female,Phuket,764.74,Low
10018,360,Sports,495.17,1/18/2024,12,55,Male,Chiang Mai,1374.24,Low
10019,152,Toys,341.27,1/19/2024,13,44,Female,Chiang Mai,1986.78,Low
10020,131,Home & Kitchen,228.52,1/20/2024,2,37,Male,Chiang Mai,4720.62,Low
10021,150,Sports,327.31,1/21/2024,3,29,Female,Pattaya,3090.84,Low
10022,309,Sports,301.25,1/22/2024,1,60,Male,Phuket,4191.37,Medium
10023,258,Sports,197.97,1/23/2024,6,48,Female,Chiang Mai,3580.72,Medium
10024,344,Sports,42.16,1/24/2024,11,44,Other,Chiang Mai,651.27,Low
10025,492,Clothing,412.54,1/25/2024,11,49,Female,Chiang Mai,3706.01,Low
10026,414,Clothing,192.2,1/26/2024,7,27,Male,Bangkok,1447.98,Medium
